County,Population
POLK,485418
LINN,225601
SCOTT,172938
JOHNSON,150819
BLACK HAWK,131813
WOODBURY,102687
STORY,97355
DUBUQUE,97193
POTTAWATTAMIE,93478
DALLAS,90418
WARREN,50867
CLINTON,46734
MUSCATINE,42703
CERRO GORDO,42672
MARSHALL,39804
DES MOINES,39227
JASPER,37032
WEBSTER,36348
WAPELLO,35102
SIOUX,34900
LEE,33946
MARION,33193
BOONE,26381
BENTON,25558
PLYMOUTH,25141
BREMER,25032
MAHASKA,22351
WASHINGTON,22100
BUCHANAN,21141
JONES,20575
CARROLL,20150
WINNESHIEK,20090
BUENA VISTA,19950
HENRY,19889
FAYETTE,19604
JACKSON,19348
CEDAR,18475
POWESHIEK,18391
JEFFERSON,18153
CLAYTON,17527
DICKINSON,17260
DELAWARE,17107
CRAWFORD,16998
TAMA,16962
HARDIN,16924
IOWA,16155
MADISON,16148
CLAY,16138
FLOYD,15713
PAGE,15205
MILLS,15023
HAMILTON,14905
KOSSUTH,14864
BUTLER,14508
HARRISON,14043
O'BRIEN,13796
ALLAMAKEE,13761
CASS,12990
WRIGHT,12644
APPANOOSE,12462
UNION,12303
GRUNDY,12262
CHICKASAW,11970
LYON,11800
SHELBY,11544
CHEROKEE,11281
LOUISA,11125
HANCOCK,10709
GUTHRIE,10702
MITCHELL,10588
WINNEBAGO,10474
KEOKUK,10163
FRANKLIN,10091
MONTGOMERY,10016
SAC,9711
CALHOUN,9656
HUMBOLDT,9518
CLARKE,9383
EMMET,9322
HOWARD,9201
DAVIS,8977
PALO ALTO,8941
GREENE,8923
MONONA,8675
LUCAS,8556
DECATUR,7908
MONROE,7761
WORTH,7422
VAN BUREN,7104
ADAIR,7048
FREMONT,6895
IDA,6862
POCAHONTAS,6725
WAYNE,6426
TAYLOR,6160
OSCEOLA,6016
AUDUBON,5528
RINGGOLD,4922
ADAMS,3633
